@RELATION comunicabilidade_dados

@ATTRIBUTE Qtd_atividades NUMERIC
@ATTRIBUTE Tempo_gasto NUMERIC
@ATTRIBUTE Qtd_etiquetas NUMERIC
@ATTRIBUTE Num_ajudas NUMERIC
@ATTRIBUTE Qtd_erros NUMERIC
@ATTRIBUTE comunicabilidade {baixa, media, alta}

@DATA
2,176,10,10,13,baixa
10,375,2,2,7,alta
9,371,1,5,5,alta
7,249,6,1,1,media
10,391,3,2,7,alta
1,125,7,7,12,media
10,381,6,1,3,alta
9,307,4,1,5,alta
9,380,5,3,4,alta
7,295,4,2,2,media
2,192,10,10,10,baixa
10,308,1,4,4,alta
9,312,2,5,6,media
8,328,6,4,4,alta
10,333,6,3,1,alta
8,310,2,5,2,alta
7,244,1,5,6,media
1,103,10,6,14,baixa
8,397,2,1,1,alta
10,378,4,3,6,alta
10,323,2,1,4,alta
7,272,3,4,6,media
6,271,2,2,6,media
9,335,6,5,3,media
9,382,2,2,5,alta
9,305,4,4,4,alta
9,372,2,2,2,alta
10,367,2,3,4,alta
6,281,4,1,1,media
10,317,4,5,7,media
6,204,6,3,6,media
8,317,2,4,3,alta
10,324,5,5,7,media
2,148,8,10,11,baixa
1,180,8,8,10,media
8,321,6,5,4,media
4,293,11,9,11,baixa
9,343,6,4,6,media
10,320,5,5,5,media
3,135,10,10,13,baixa
6,282,1,1,2,media
8,310,4,5,2,alta
9,334,1,4,4,alta
8,309,5,5,6,media
9,317,2,2,4,alta
10,312,5,5,6,media
7,288,3,2,2,media
10,386,4,5,3,media
3,194,11,8,13,baixa
8,384,3,2,1,alta
7,288,5,1,5,media
7,242,5,2,5,media
2,149,9,7,11,baixa
8,383,6,2,3,alta
7,219,6,1,4,media
8,382,5,3,3,alta
8,378,6,1,1,alta
9,306,1,1,3,alta
1,103,7,6,9,media
7,237,5,1,5,media
4,211,11,10,15,baixa
7,220,5,1,7,media
7,276,4,1,5,media
4,217,9,9,12,baixa
9,304,1,4,3,alta
5,242,8,10,8,media
1,123,8,9,10,baixa
3,129,9,8,12,baixa
8,374,2,4,5,alta
4,268,10,8,8,media
6,251,1,1,7,media
4,286,10,10,13,baixa
10,374,6,5,5,alta
6,297,5,3,1,media
10,336,2,5,5,alta
6,286,2,1,6,media
3,178,11,6,14,baixa
2,112,7,9,14,baixa
10,365,6,5,4,alta
6,279,3,4,6,media
10,386,1,1,1,alta
10,301,2,2,4,alta
7,201,6,1,7,media
3,174,7,6,8,media
1,155,8,6,9,baixa
8,393,3,1,4,alta
8,344,6,3,3,alta
6,228,4,1,3,media
9,331,6,5,6,media
6,202,5,4,1,media
1,143,8,9,10,baixa
7,201,6,2,7,media
8,312,2,1,3,alta
7,206,4,2,4,media
9,397,4,5,1,alta
6,231,3,3,2,alta
6,213,2,4,4,media
10,398,2,4,1,alta
2,116,8,7,10,media
5,231,9,9,9,media
4,233,9,10,11,baixa
3,121,10,7,10,baixa
9,348,3,2,6,alta
5,299,11,6,8,media
9,361,4,4,3,alta
8,339,4,4,5,alta
6,216,3,2,3,alta
4,292,10,6,11,media
8,357,4,3,6,alta
4,205,9,10,13,baixa
4,248,7,8,8,media
8,396,1,5,3,alta
10,365,1,2,6,alta
9,392,4,4,1,alta
1,144,7,10,14,baixa
8,313,3,5,2,alta
8,333,6,2,7,alta
7,226,2,3,7,media
6,206,6,5,7,media
3,178,9,8,15,baixa
2,181,9,6,8,baixa
8,399,2,3,5,alta
6,295,5,2,2,media
6,204,5,4,7,media
3,156,10,8,15,baixa
5,242,9,9,12,baixa
10,363,2,2,7,alta
5,271,11,6,12,media
10,307,1,5,2,alta
4,298,8,8,15,baixa
8,367,1,3,4,alta
5,299,7,10,8,media
9,305,2,4,7,alta
9,371,6,3,4,alta
10,344,6,5,6,media
7,204,5,3,7,media
7,224,4,5,1,media
1,107,9,8,11,baixa
4,288,10,10,10,baixa
2,190,9,8,12,baixa
7,212,6,2,2,media
6,275,3,1,5,alta
9,314,3,3,4,alta
6,281,1,2,4,alta
2,147,11,10,11,baixa
9,374,2,2,5,alta
8,383,2,5,5,alta
9,316,1,5,5,alta
1,146,11,10,12,baixa
9,346,2,4,1,alta
1,148,10,10,14,baixa
7,220,4,1,2,media
6,246,2,4,1,media
5,213,7,6,12,media
9,334,5,5,7,media
6,284,2,1,4,alta
9,367,1,3,2,alta
6,201,5,4,5,media
7,269,5,2,2,media
5,297,10,8,13,baixa
5,268,9,7,12,media
9,315,1,1,4,alta
4,253,10,10,11,baixa
7,235,3,3,5,alta
10,395,4,2,4,alta
8,383,5,1,7,alta
10,363,6,1,6,alta
1,143,9,9,8,baixa
9,318,5,2,2,alta
6,227,5,4,1,media
8,314,4,5,4,alta
4,274,7,10,8,media
6,267,6,4,2,media
4,290,8,7,13,media
10,345,3,4,4,alta
10,357,4,1,3,alta
6,206,1,4,4,media
10,400,4,3,7,alta
6,230,2,3,2,alta
4,298,10,8,15,baixa
8,330,6,1,7,alta
7,252,4,3,7,media
3,167,8,6,8,baixa
1,128,8,7,13,baixa
7,299,5,3,7,media
7,244,4,2,2,media
1,196,10,9,10,baixa
7,226,6,5,7,media
7,265,2,1,5,alta
8,382,4,1,2,alta
9,325,6,5,2,alta
6,258,6,4,5,media
7,249,3,3,7,media
8,353,1,3,5,alta
3,192,10,7,10,baixa
10,399,5,4,3,alta
10,330,4,5,3,alta
9,395,2,3,4,alta
9,304,3,2,4,alta
2,119,7,6,11,baixa
6,284,1,1,3,alta
4,226,7,10,12,media
7,261,1,3,4,alta
10,357,2,3,1,alta
2,118,10,9,13,baixa
7,298,1,4,2,media
6,244,1,1,5,alta
9,325,3,3,5,alta
5,208,11,10,12,baixa
7,242,6,5,5,media
8,319,3,3,2,alta
7,216,4,2,5,media
10,358,2,1,6,alta
7,267,2,1,7,media
9,355,1,2,2,alta
8,368,6,2,5,alta
9,377,5,3,4,alta
7,284,6,3,5,media
6,258,4,5,1,media
5,241,8,6,13,media
9,377,5,1,5,alta
8,375,2,4,6,alta
8,390,1,3,5,alta
2,174,8,7,14,baixa
9,305,3,1,6,alta
8,396,6,4,6,media
8,320,6,1,1,alta
8,328,5,4,3,alta
6,244,3,1,2,alta
9,302,5,1,2,alta
4,217,10,8,11,baixa
8,399,6,3,1,alta
7,290,5,1,2,media
2,129,7,8,8,baixa
10,322,6,2,2,alta
6,250,4,5,7,media
5,208,7,6,13,media
10,380,5,1,3,alta
9,357,6,2,1,alta
9,336,6,4,1,alta
8,344,1,1,2,alta
5,232,7,10,15,media
10,394,6,4,3,alta
10,325,1,5,6,alta
5,230,11,9,10,baixa
7,239,6,1,7,media
8,310,6,1,3,alta
9,377,1,4,7,alta
6,300,4,4,3,media
1,127,7,7,12,baixa
10,367,3,1,3,alta
6,264,6,5,7,media
7,263,2,1,7,media
7,237,6,1,4,media
10,356,3,5,7,alta
10,361,2,2,6,alta
1,194,9,10,9,baixa
9,369,3,2,7,alta
8,351,6,2,5,alta
1,189,8,6,12,baixa
6,253,4,1,5,media
4,224,10,10,14,baixa
10,301,2,2,7,alta
5,240,8,8,8,media
8,345,1,4,7,alta
9,330,2,3,5,alta
6,215,4,5,1,media
10,334,4,3,1,alta
6,225,3,2,4,alta
8,349,4,3,2,alta
8,394,6,4,1,alta
4,235,8,8,15,baixa
7,239,1,2,5,alta
8,308,5,1,6,alta
8,398,2,2,5,alta
7,234,6,2,3,media
8,393,2,4,1,alta
8,348,4,1,5,alta
6,272,1,1,5,alta
8,397,2,2,3,alta
9,372,6,3,1,alta
6,220,5,2,2,media
9,314,1,3,6,alta
5,271,10,6,15,media
1,196,8,7,13,baixa
8,369,6,1,7,alta
5,235,11,10,15,baixa
8,371,6,2,1,alta
6,281,4,1,4,media
8,389,4,2,1,alta
3,150,8,10,10,baixa
10,342,1,5,1,alta
6,229,5,1,6,media
9,349,6,5,6,media
9,323,1,5,5,alta
6,237,2,5,5,media
3,195,9,6,13,baixa
6,286,5,5,7,media
8,356,1,2,2,alta
1,149,9,9,15,baixa
6,223,1,2,3,alta
8,318,4,3,2,alta
6,270,1,4,3,media
10,315,4,4,5,alta
7,240,5,5,2,media
3,131,10,7,9,baixa
2,168,11,6,10,baixa
9,362,4,2,6,alta
4,244,10,9,13,baixa
3,189,10,8,10,baixa
1,149,9,7,10,baixa
8,368,4,2,4,alta
7,237,3,2,1,alta
8,356,6,5,7,media
9,386,6,5,5,alta
7,246,1,4,2,media
9,327,6,5,3,alta
3,105,10,8,12,baixa
6,203,5,2,6,media
9,325,2,2,4,alta
10,393,4,4,1,alta
10,399,4,1,1,alta
6,288,6,2,2,media
10,362,2,2,1,alta
2,142,10,7,10,baixa
1,153,9,9,11,baixa
8,366,6,5,3,alta
7,278,2,2,7,media
5,229,9,6,9,media
7,269,4,4,1,media
6,207,1,3,6,media
10,361,4,5,3,alta
3,172,11,7,13,baixa
8,355,6,4,1,alta
6,289,4,3,3,media
